"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Due date","Issue color"
"SCRUM-18","Epic","","Phase 1: Planification, Architecture & Compliance","Finalizado","","","2026-02-09","2026-02-19","purple"
"SCRUM-5","Story","SCRUM-18","Laws, Restrictions and Reality Check","Finalizado","","SCRUM Sprint 0","2026-02-09","2026-02-12","purple"
"SCRUM-6","Story","SCRUM-18","Data Structure v0.1","Finalizado","","SCRUM Sprint 0","2026-02-09","2026-02-12","purple"
"SCRUM-9","Story","SCRUM-18","Scientific Approach to Data - First Task","Finalizado","JAVIER HERNANDEZ PEREZ","SCRUM Sprint 1","2026-02-16","2026-02-19","purple"
"SCRUM-8","Story","SCRUM-18","First dashboard draft - Data Analyst","Finalizado","Ashley","SCRUM Sprint 1","2026-02-16","2026-02-19","purple"
"SCRUM-7","Story","SCRUM-18","Data Structure v1.0","Finalizado","","SCRUM Sprint 1","2026-02-16","2026-02-19","purple"
"SCRUM-19","Epic","","Phase 2: Data Preparation & Labeling","En curso","","","2026-02-23","2026-03-04","purple"
"SCRUM-20","Story","SCRUM-19","Data recollection","Finalizado","","","2026-02-23","2026-02-24","purple"
"SCRUM-21","Story","SCRUM-19","Video Transformation","En curso","Santiago Campos Snels","","2026-02-24","2026-02-26","purple"
"SCRUM-22","Story","SCRUM-19","Data Labeling","En curso","","","2026-02-26","2026-03-01","purple"
"SCRUM-23","Story","SCRUM-19","Data Augmentation","Por hacer","","","2026-03-01","2026-03-04","purple"
"SCRUM-24","Epic","","Phase 3: YOLO Training & Tracking","Por hacer","","","2026-03-05","2026-04-02","purple"
"SCRUM-25","Story","SCRUM-24","Test and training ","Por hacer","","","2026-03-05","2026-03-10","purple"
"SCRUM-26","Story","SCRUM-24","YOLO training","Por hacer","","","2026-03-10","2026-03-15","purple"
"SCRUM-27","Story","SCRUM-24","Model Evaluation","Por hacer","","","2026-03-15","2026-03-22","purple"
"SCRUM-28","Story","SCRUM-24","Tracking implementation","Por hacer","","","2026-03-22","2026-03-27","purple"
"SCRUM-29","Story","SCRUM-24","Spatial structure","Por hacer","","","2026-03-27","2026-04-02","purple"
"SCRUM-30","Epic","","Phase 4: ETL","Por hacer","","","2026-04-02","2026-04-19","purple"
"SCRUM-31","Story","SCRUM-30","Data filtering and cleaning","Por hacer","","","2026-04-02","2026-04-07","purple"
"SCRUM-33","Story","SCRUM-30","Spatial metrics","Por hacer","","","2026-04-07","2026-04-10","purple"
"SCRUM-34","Story","SCRUM-30","Traffic aggregation","Por hacer","","","2026-04-10","2026-04-13","purple"
"SCRUM-35","Story","SCRUM-30","Join datasets","Por hacer","","","2026-04-13","2026-04-15","purple"
"SCRUM-36","Story","SCRUM-30","EDA","Por hacer","","","2026-04-15","2026-04-19","purple"
"SCRUM-37","Epic","","Phase 5: EDA","Por hacer","","","2026-04-20","2026-05-04","purple"
"SCRUM-38","Story","SCRUM-37","Funnel Analysis","Por hacer","","","2026-04-20","2026-04-22","purple"
"SCRUM-39","Story","SCRUM-37","Temporal Analysis","Por hacer","","","2026-04-22","2026-04-25","purple"
"SCRUM-40","Story","SCRUM-37","Heat maps","Por hacer","","","2026-04-25","2026-04-30","purple"
"SCRUM-41","Story","SCRUM-37","Sales vs. Traffic Correlation","Por hacer","","","2026-04-30","2026-05-03","purple"
"SCRUM-42","Epic","","Phase 6: Dashboard & Visualization","Por hacer","","","2026-05-05","2026-05-19","purple"
"SCRUM-43","Story","SCRUM-42","Dashboard Design","Por hacer","","","2026-05-05","2026-05-06","purple"
"SCRUM-44","Story","SCRUM-42","BI Development ","Por hacer","","","2026-05-06","2026-05-08","purple"
"SCRUM-45","Story","SCRUM-42","Final dashboard","Por hacer","","","2026-05-08","2026-05-19","purple"
"SCRUM-46","Epic","","Phase 7: Closing & Presentation","Por hacer","","","2026-05-20","2026-05-27","purple"
"SCRUM-47","Story","SCRUM-46","Documentation","Por hacer","","","2026-05-20","2026-05-26","purple"
"SCRUM-48","Story","SCRUM-46","Pitch Deck","Por hacer","","","2026-02-26","2026-02-27","purple"
